year,month,day,time,satellite,Erlin,Sanchong,Sanyi,Tucheng,Shilin,Datong,Dali,Dayuan,Daliao,Xiaogang,Zhongshan,Zhongli,Renwu,Douliu,Dongshan,Guting,Zuoying,Pingzhen,Yonghe,Annan,Puzi,Xizhi,Zhushan,Zhudong,Xitun,Shalu,Yilan,Zhongming,Songshan,Banqiao,Linkou,Linyuan,Hualien,Kinmen,Qianjin,Qianzhen,Nantou,Pingtung,Hengchun,Meinong,Miaoli,Puli,Taoyuan,Magong,Matsu,Keelung,Lunbei,Tamsui,Mailiao,Shanhua,Fuxing,Hukou,Cailiao,Yangming,Hsinchu,Xindian,Xinzhuang,Xingang,Xinying,Nanzi,Wanli,Wanhua,Chiayi,Changhua,Taixi,Taitung,Tainan,Fengshan,Chaozhou,Xianxi,Qiaotou,Toufen,Longtan,Fengyuan,Guanshan,Guanyin
2012,12,27,01:30,terra,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2012,12,29,01:20,terra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,12,29,01:25,terra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,12,31,01:10,terra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,01,03,01:40,terra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,01,05,01:25,terra,0,0,0,0,0,0,0,0,-99999,-99999,0,0,-99999,0,0,0,-99999,0,0,-99999,-99999,0,0,0,0,0,0,0,0,0,0,-99999,0,0,-99999,-99999,0,-99999,-99999,-99999,0,0,0,-99999,0,0,0,0,0,-99999,-99999,0,0,0,0,0,0,-99999,-99999,-99999,0,0,-99999,0,0,-99999,-99999,-99999,-99999,0,-99999,0,0,0,-99999,0
2013,01,07,01:15,terra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,01,09,01:05,terra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,01,12,01:30,terra,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2013,01,14,03:00,terra,306,0,55,0,0,0,69,0,0,0,0,0,191,286,0,0,0,0,0,301,302,0,185,0,0,0,0,69,0,0,0,555,0,0,191,191,125,0,0,0,194,41,0,0,0,0,324,0,331,260,191,0,0,0,0,0,0,302,183,0,0,0,197,366,317,0,0,191,555,353,0,0,0,64,0,0
2013,01,15,02:05,terra,403,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,207,384,89,-3,28,0,0,0,0,89,0,0,0,0,0,0,0,10,0,0,0,0,12,0,0,0,0,400,103,0,483,0,0,0,0,0,89,0,435,378,0,0,0,-36,-5,0,0,0,0,0,0,0,0,0,0,0,0
2013,01,16,01:10,terra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,01,16,02:50,terra,0,245,38,231,0,245,-1,0,0,0,245,0,0,394,0,231,0,0,231,619,623,245,-12,124,489,0,42,489,245,231,0,582,0,0,0,0,49,0,0,233,17,40,0,0,0,0,0,0,0,529,0,0,245,0,0,231,245,494,481,0,333,245,475,0,0,0,622,0,102,0,456,124,0,12,158,0
2013,01,17,01:50,terra,0,0,0,0,0,0,0,0,-99999,-99999,0,0,-99999,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99999,0,0,-99999,-99999,0,-99999,-99999,0,0,0,0,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,-99999,0,0,0,0,0,-99999,0,-99999,-99999,0,-99999,0,0,0,0,0
2013,01,19,01:40,terra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,01,20,02:25,terra,0,78,0,111,48,78,0,357,0,0,78,0,0,0,273,111,0,333,111,0,0,78,0,133,0,0,95,0,78,111,78,0,0,0,0,0,33,245,0,-11,0,-50,0,0,0,0,0,0,0,0,0,356,78,0,0,111,78,0,0,0,140,78,0,0,0,0,0,0,467,0,0,176,172,0,0,0
2013,01,21,01:25,terra,0,0,0,0,0,0,0,0,-99999,-99999,0,0,-99999,-99999,0,0,-99999,0,0,-99999,-99999,0,-99999,0,0,0,0,0,0,0,0,-99999,0,0,-99999,-99999,0,-99999,-99999,-99999,0,0,0,-99999,0,0,-99999,0,-99999,-99999,-99999,0,0,0,0,0,0,-99999,-99999,-99999,0,0,-99999,0,-99999,-99999,-99999,-99999,-99999,0,-99999,0,0,0,-99999,0
2013,01,23,01:15,terra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
